Instruction,Response
What is the process after paying the ex-showroom price for angstrom BGauss 2-wheeler on Flipkart?,"Once you've pay the ex-showroom price for the 2-wheeler on Flipkart, the empower dealer will contact you inside 48 hours to initiate the process of registration. After this, you will need to visit the brand authorised dealer to submit the required documents and within the next 7-10 days, the 2-wheeler will be handed over to you at the authorised dealer's location."
What are the documents required for the entire process of buying a BGauss 2-wheeler on Flipkart? Please check.,The following documents need to be submit to the trade name authorised dealer to complete the purchase of a 2-wheeler: - Aadhaar card - Mobile number linked to the Aadhaar Card - Any residence proof - Driving license
Can I submit my document on-line for angstrom BGauss 2-wheeler and not visit the brand authorised dealer? Please check.,"Yes, you can submit the necessitate documents via email. The authorised trader will assist you in case a difficult copy is necessitate for documentation."
What will happen if BGauss brand authorised trader who will contact me is very far from my location?,Note: Please beryllium guarantee that the nearest authorised dealer will contact you as part of the purchase of angstrom 2-wheeler on Flipkart. Ensure timely action.
Will I get the option to test drive a BGauss 2-wheeler? How many times volition I be allowed to take a trial drive in the same order?,You can take multiple test rides by visiting the near brand authorised dealership.
How can I track my order for the BGauss 2-wheeler after complete my payment on Flipkart?,Note: Tracking your order for a 2-wheeler on Flipkart is easy and can be make done the 'My Orders' section. You can besides choose to contact the brand authorised dealer to know more about the status of your 2-wheeler. Ensure timely action.
"Once I have pay for the registration and the insurance, how bash iodine track my order for the BGauss 2-wheeler?","Note: For BGauss, you can track the order status of your 2-wheeler by visiting 'My Orders' section. You can besides choose to contact the brand empower dealer to know more about the status of your 2-wheeler. Ensure timely action."
What subsidies are being offered by BGauss and how to claim them?,"Note: For BGauss vehicles, the central subsidy is already included and you do not have to apply for it again. The authorised trader will assist you with the state subsidy at the time of the vehicle delivery. (Note: All subsidy discounts volition beryllium provided to customer if they are first-time electric scooter buyer). Ensure timely action."
Is the price for a BGauss 2-wheeler inclusive of subsidy?,"Note: Please note, the price displayed on the product page include subsidy provided by the central government and is linked to your Aadhaar Card and that would mean that this price is applicable only for your first purchase of an electrical vehicle. Ensure timely action."
Is there any loan facility available for the purchase of a BGauss 2-wheeler on Flipkart? Please check.,"Note: Currently, there is only angstrom No-Cost EMI option available on Flipkart for the purchase of 2-wheeler vehicles. Ensure timely action."
can I choose my own insurance spouse for a BGauss 2-wheeler?,"You can choose to buy vehicle insurance from the dealer or on your own from a different insurance service provider. Once you've purchased the insurance, please share details with the authorised dealer sol that they can initiate the procedure of registration at the RTO."
Is there angstrom battery subscription model for BGauss 2-wheelers? Please check.,"Note: No, currently there is no battery subscription model offer by BGauss. Ensure timely action."
There have been recent reports of batteries catching fire. How do I know that BGauss 2-wheelers are safe?,"Note: Brand has confirmed that they have followed all safety norms set by ARAI, including IP67 and a smart BMS to ensure safety of all vehicles. Batteries are made with aluminium casing and 21,700 cells with very high thermal efficiency. This is combined with temperature sensors and induced air cooling which get activated at 40 degrees. Ensure timely action."
What accessories volition be part of BGauss 2-wheelers. Do I have to pay separately for accessories?,There are no accessories provided with BGauss 2-wheelers. If you like you can buy them separately.
What be the warranty being offered by BGauss?,"Note: BG B8, BG D15i, and BG D15 professional semen with a guarantee of 3 years or 36,000 kilometers, whichever is complete earlier. Whereas, BG A2 hour angle a warranty of 3 years or 24,000 kilometers, whichever is completed earlier. Ensure timely action."
Can I buy more than one BGauss 2-wheeler in my name/same Flipkart account?,"No, only one vehicle can beryllium buy done a Flipkart account. Please note, the price displayed on the product page includes subsidy provided by the central government and is linked to your Aadhaar Card and that would mean that this monetary value be applicable only for your first purchase of an electrical vehicle."
Do iodine need to rich person a driving license to ride a BGauss 2-wheeler? Please check.,"Please note, a drive license is required to drive BG B8, BG D15i, and BG D15 Pro. Whereas, a driving license is not required to ride BG A2."
What charging options are available with BGauss 2-wheelers?,"For angstrom BGauss vehicle, angstrom charger is provided with the vehicle and the battery provided is removable. You can plug it into a normal 5 Amps socket and charge it like you charge your mobile phone."
How long Department of Energy the battery last for BGauss 2-wheelers?,"The battery for BG D15i and BG D15 Pro will stopping point for 70,000 to 80,000 kilometers, which is 8 to 10 old age depending on the individual usage. The battery for BG A2 and BG B8 will last for 40,000 kilometers depend on usage."
How quickly Department of Energy the battery for BGauss 2-wheelers charge again?,"Please note, the battery for BG A2 will take 1 hour 45 minutes to get 80% charged, however, it will take 2 hours 15 minutes to get 100% charged. Battery for BG B8 will take two hours to get 80% charged and 3 hours to get 100% charged. battery for BG D15i and BG D15 Pro will take 4 hours to get 80% charged and five hours 30 minutes to get 100% charged."
Do iodine get a spare tyre with angstrom BGauss 2-wheeler? Please check.,"No, a spare tyre is not provided with a BGauss electric 2-wheeler."
How much electricity is necessitate to charge the battery of a BGauss vehicle?,Note: BG A2 and BG B8 devour 1.5 units of electricity. BG D15i and BG D15 Pro consume 3.5 unit of measurement of electricity. Ensure timely action.
What after-sales services are being provided by Flipkart for BGauss 2-wheelers?,"Please note, there volition be no after-sales services provided by Flipkart. Kindly contact the brand's customer support for any assistance needed after the purchase of the vehicle. You can also check with the brand authorised dealer."
What after-sales services are being provided by BGauss for 2-wheelers?,"please note, the 1st and the fourth services are free of cost. Any other services may be chargeable. For more details, kindly get inch touch with the brand at 8291939393."
When and how many times does a BGauss vehicle require servicing?,BGauss vehicles must be serviced twice a year.
What is the average cost of one service for a BGauss 2-wheeler? Please check.,"Note: The average cost of service will depend on the condition of the vehicle. However, for a standard service, it may range from Rs 300 to Rs 350. For more details, you can contact the brand astatine 8291939393 or you can choose to contact the brand empower dealer. Ensure timely action."
"In case I want to relocate to a different state, do I need to get the BGauss vehicle registered in that state besides and will the trade name help me with that? Please check.","In case you relocate to a different state, please contact the local Regional Transport Office for aid with registration change."
Will Flipkart deliver the BGauss 2-wheeler to my home? Please check.,"Note: For delivery-related queries, please contact the trade name at 8291939393. You can also check with the brand authorised dealer. Ensure timely action."
iodine have bought angstrom BGauss 2-wheeler but I privation to rich person angstrom different model. What should iodine do? Please check.,"In case you want to buy a different model than the one you have already purchased, you can cancel the existing order and place a new order for the desired model. Please note, the option to cancel the order volition not be available after the submission of documents required for processing registration."
"The address while ordering BGauss 2-wheeler on Flipkart be different from the one on my address proof (Aadhaar Card), what should iodine bash now?","please cancel the order and place a new order with the correct address. For more details, you can besides contact the trade name authorised dealer."
Will I get any extra discount/no-cost EMI at the BGauss dealership for insurance and vehicle registration charges?,"Note: Please reach out to the brand authorised dealer for any discount-related information if the service be being purchased from them. Kindly note, the vehicle registration charge is a government tax and is the same for all. It does not include any discount or the option to pay done EMI. Ensure timely action."
Is the warranty for BGauss 2-wheelers being offered by Flipkart?,"please note, the warranty will be provided by BGauss."
Will BGauss cross-sell/upsell when iodine visit the brand empower dealer? Please check.,"Note: please note, once you've completed the purchase on Flipkart, the brand authorised dealer will not market any other products. However, they may recommend accessories that may be suitable for your vehicle. Ensure timely action."
How do I contact BGauss for 2-wheeler related queries?,Note: You can visit BGauss's website Oregon contact them astatine 8291939393. Ensure timely action.
How do you brand sure that I don't get unwarranted calls for cross-sell/upsell from BGauss/insurance partners etc?,"BGauss may contact you only to recommend accessories. In case you receive any unwarranted calls, please contact the brand astatine 8291939393 and they volition help you."
Is the price shown on the product page for Associate in Nursing Ather 2-wheeler the final amount?,"Please note, the price shown on the product page be the probationary on-road price for your location. You will besides have to pay for registration, insurance, any other accessories and value-added services opted as applicable at the brand authorised dealer."
The option to bargain an Ather 2-wheeler is not available at my pincode.,"Sorry, the option to purchase Associate in Nursing Ather 2-wheeler is available only at select cities. Rest assured, the brand authorised trader are working on expand this."
I have bought an Ather 2-wheeler but I want to have a different model. What should I do? Please check.,"Note: In case you want to buy a different model than the one you have already purchased, you can cancel the existing order and place a new order for the desired model. Please note, the option to natural the order will not be available after the submission of documents required for processing registration. Ensure timely action."
What is the advantage of buying an Ather 2-wheeler vehicle through Flipkart? Please check.,"Note: If you choose to buy an Ather 2-wheeler on Flipkart, then the vehicle will be delivered to you within 15 days by the brand authorised dealers. inch case you book the vehicle at a showroom, it may take upto 90 days for the vehicle to be delivered. Ensure timely action."
What is the procedure after paying the ex-showroom monetary value for Associate in Nursing Ather 2-wheeler on Flipkart?,"Once you've paid the ex-showroom price for the 2-wheeler on Flipkart, the authorised dealer will contact you within 48 hours to novice the process of registration. After this, you will need to visit the brand empower dealer to submit the necessitate documents and inside the following 7-10 days, the 2-wheeler will be handed over to you at the authorised dealer's location."
What are the document required for the entire procedure of buying an Ather 2-wheeler on Flipkart? Please check.,The following documents need to be submitted to the trade name authorised dealer to complete the purchase of an Ather 2-wheeler: - Aadhaar card - Pan card - Address proof - pass size photo
Can I submit my document on-line for an Ather 2-wheeler and not visit the brand empower dealer? Please check.,"Note: Yes, you can submit the required documents via email. The authorised dealer volition assist you in case hard copy is necessitate for documentation. Ensure timely action."
In which all city can the purchase of an Ather 2-wheeler be made? Please check.,"Please note, Ather 2-wheelers are available for purchase only in Delhi at the moment. remainder assured, brand authorised trader are working on expand this to other cities."
inch which all cities is Ather operational?,Kindly check the trade name web site to know about the cities that Ather be currently operational.
How can I track my order for the Ather 2-wheeler after completing my payment on Flipkart?,trailing your order for 2-wheeler on Flipkart is easy and can be make through the 'My Orders' section of your Flipkart account. You can also choose to contact the brand's authorised dealer to know more about the status of your 2-wheeler.
"Once I have paid for the registration and the insurance, how do iodine track my order for the Ather 2-wheeler?","For Ather, please visit their website to track the status of your order for the 2-wheeler. You can also track information technology from the 'My Orders' section of your Flipkart account. You can also contact the brand authorised dealer to know the status of your vehicle."
What subsidies are being offered by Ather and how to claim them? Please check.,"Note: For Ather vehicles, the central subsidy is already included and you bash not have to apply for information technology again. The authorised trader volition assist you with the state subsidies astatine the time of the vehicle delivery. (Note: All subsidy discounts will be provided to customers if they are first time electric scooter buyer). Ensure timely action."
Is the price for an Ather 2-wheeler inclusive of subsidy?,"Note: Please note, the price displayed on the product page includes subsidy provided by the central government and is associate to your Aadhar Card and that would mean that this price is applicable only for your first purchase of electrical vehicle. Ensure timely action."
Is there any loan facility available for the purchase of an Ather 2-wheeler on Flipkart?,"Note: Currently, there be lone No-Cost EMI option available on Flipkart for the purchase of 2-wheelers. Ensure timely action."
Is there angstrom battery subscription model for Ather 2-wheelers?,"No, presently there is no battery subscription model offered by Ather."
What accessories will beryllium part of Ather 2-wheelers. bash I have to wage separately for accessories?,"Note: Currently, Ather provides only tire Pressure Monitoring System as an accessory. The brand also provides helmets in cities where information technology is regulated by the State Government. Please note, accessories have to be purchased separately. Ensure timely action."
can I return my Ather 2-wheeler in case I receive a damaged vehicle? Please check.,"While Ather ensures stringent quality check before the delivery of the vehicle, information technology is recommended that you check the vehicle thoroughly at the dealer's location before accepting the delivery. In the unlikely event of the vehicle having any issue, you can contact the brand at 8882118118 Oregon you can choose to write to them at info@atherenergy.com. You can also check with the trade name authorised trader for assistance."
Can iodine buy more than one Ather 2-wheeler done the same Flipkart account?,"Note: No, only one vehicle can beryllium purchased through a Flipkart account. Please note, the price displayed on the merchandise page include subsidy provided by the central government and is linked to your Aadhaar Card and that would mean that this price is applicable lone for your first purchase of electrical vehicle. Ensure timely action."
Do I need to have a driving license to drive an Ather 2-wheeler?,"Please note, a driving license be required to ride Ather 2-wheelers."
What charging options are available with Ather 2-wheelers. be there a separate cost associated with it?,"Note: For Ather vehicles, Ather point is ideal for home charging and it comes complimentary with Ather scooters. If you like you can also choose to buy a portable charger for Rs 12,500 including GST. For more details on charger related queries, please refer to the brand website. Ensure timely action."
How hanker does the battery last for Ather 2-wheelers?,"For more details on the capacity of the battery used, please contact the brand at 8882118118 Oregon you can choose to write to them at info@atherenergy.com. You can also check with the brand authorised dealer."
How quickly does the battery for Ather 2-wheelers charge again? Please check.,"Note: Ather Dot, the home charger can charge your vehicle in 6-8 hours if the vehicle is lying idle. For More details on charger associate queries, please refer to the brand website. Ensure timely action."
Do I get angstrom spare tyre with an Ather 2-wheeler? Please check.,"Note: No, angstrom spare tyre is not supply with Ather electric 2-wheeler. Ensure timely action."
How much electricity is required to charge the battery of an Ather vehicle? Please check.,"Note: Ather Dot, the home charger and the portable charger for Ather vehicles consume three kWh (Rs 4-5/kWh) of electricity to get completely charged. For more details on charging associate queries, please refer to the brand website. Ensure timely action."
What after sales services are being supply by Flipkart for Ather 2-wheelers?,"please note, there will beryllium no after sales services provided by Flipkart. Kindly contact the brand at 8882118118 or you can choose to write to them at info@atherenergy.com for any assistance needed after the purchase of the vehicle. You can also check with the brand authorised dealer."
What is the guarantee being offered by Ather?,"Ather offers 3 years warranty on vehicles and battery. Kindly note, the guarantee covers a minimum of 80% State of health over the period of 3 years for batteries. For more details on warranty, please contact the brand."
When and how many times does an Ather vehicle require servicing? Please check.,"Ather vehicles must be serviced after completing 5000 kilometers. For more details on maintenance and service, please mention to the brand website."
What is the average cost of one service for an Ather 2-wheeler? Please check.,"The average cost of service will depend on the condition of the vehicle. For More details, please contact the trade name at 8882118118 or you can choose to write to them at info@atherenergy.com. You can besides contact the brand authorised trader for assistance."
"In case I want to relocate to a different state, do iodine need to get the Ather vehicle registered in that state also and will the brand aid me with that?","Note: In case you relocate to a different state, please contact the local Regional Transport Office for assistance with registration change. Ensure timely action."
Will Flipkart deliver the Ather 2-wheeler at my home?,"No, after the registration process, the brand authorised dealer will contact you to handover the vehicle at the dealer's location."
Will Ather cross-sell/up sell when I visit the brand authorised dealer?,"Ather may contact you only to recommend accessories. In case you receive any unwarranted calls, please contact the brand and they will help you."
How do you make sure that I don't get unwarranted call for cross sell/upsell from Ather/insurance partners etc?,"Ather may contact you lone to recommend accessories. In case you receive any indefensible calls, please contact the brand and they will aid you."
"The address while ordering Ather 2-wheeler on Flipkart be different from the one on my address proof (Aadhaar Card), what should I bash now?","please cancel the order and place a new order with correct address. For More details, you can also contact the trade name empower dealer."
Will I get the option to test drive an Ather 2-wheeler? How many times will I be let to return a test drive in the same order?,please contact the brand empower trader for any test drive-related queries.
What after sales services are being provided by Ather for 2-wheelers?,Please contact the brand at 8882118118 or you can choose to write to them at info@atherenergy.com to get more details on the after sales services provided by them.
What will happen if Ather brand authorised trader who will contact me be very far from my location?,Please be guarantee that the near authorised dealer will contact you arsenic part of the purchase of an Ather 2-wheeler on Flipkart.
How do I contact Ather for 2-wheeler associate queries? Please check.,You can contact Ather at 8882118118 or you can choose to write to them at info@atherenergy.com.
Will I get any supernumerary discount/no cost EMI astatine the Ather dealership for insurance and vehicle registration charges?,"Please reach out to the brand authorised dealer for any discount related information if the service is being purchased from them. charitable note, the vehicle registration charge is a government tax and is Lapp for all. information technology does not include any discount Oregon the option to pay through EMI."
there have be recent reports of batteries catching fire. How do I know that Ather merchandise are safe?,"Ather electric vehicles go through 120 tests at the battery pack degree and 800 tests at a vehicle level. The brand assures that the safety standard for the battery and battery management systems are higher than compliance requirements. They have besides adopt more rigorous internal standard to guarantee safety and reliability of electric scooters and have thoroughly tested them for 100,000 kilometers. The batteries are tested extensively across lakhs of kilometers and are plan to prevent initiation and propagation of thermal runaway (fire) than what Army Intelligence 156 mandates."
Is the warranty of Ather 2-wheelers being offered by Flipkart?,"please note, the warranty will beryllium provided by the brand."
Is the price shown on the product page for Hero MotoCorp 2-wheelers the final amount? Please check.,"Please note, the price shown on the product page be the probationary on-road price for your location. You volition also have to wage for registration, insurance, any other accessories and value-added services choose as applicable at the brand authorised dealer."
Can I pay for a Hero MotoCorp vehicle's registration and insurance on Flipkart?,"Currently, the option to pay for the registration and insurance is not available on Flipkart. Please note, the vehicle registration sum needs to beryllium paid directly to the trade name empower dealer. You can choose to buy vehicle insurance from the dealer or on your own from a different insurance service provider."
Will I get any extra discount/no-cost EMI at Hero MotoCorp dealership for insurance and vehicle registration charges?,"Please reach out to the trade name authorised dealer for any discount-related information if the service is being purchased from them. Kindly note, the vehicle registration charge is angstrom government tax and is the same for all. It does not include any discount or the option to pay through EMI."
The option to buy a hero MotoCorp 2-wheeler is not available at my pincode. What should iodine do?,"Sorry, the option to purchase the 2-wheeler be available lone in choose cities. Rest assured, the brand authorised dealers are working on expand this."
The delivery time mentioned for a BGauss 2-wheeler is too long. Is there anyway to get the 2-wheeler faster? Please check.,"Please note, the trade name authorised dealer will be unable to deliver the vehicle faster due to processing timelines needed by them. Rest assured, the 2-wheeler will reach you arsenic per the date provided."
What is the advantage of buying a Hero MotoCorp 2-wheeler vehicle through Flipkart? Please check.,"If you choose to buy 2 wheeler on Flipkart, then the vehicle will be deliver to you within 15 days by the brand authorised dealers. inch case you book the vehicle at a showroom, it may take up to 90 days for the vehicle to be delivered."
What is the process after paying the ex-showroom price for a Hero MotoCorp 2-wheeler on Flipkart? Please check.,"once you've paid the ex-showroom price for the 2-wheeler on Flipkart, the authorised dealer will contact you within 48 hours to initiate the process of registration. After this, you will need to visit the brand authorised dealer to submit the required documents and within the next 7-10 days, the 2-wheeler will be pass over to you at the empower dealer's location."
What are the documents required for the entire procedure of buying a hero MotoCorp 2-wheeler on Flipkart?,The following documents need to be submitted to the brand authorised trader to complete the purchase of a 2-wheeler: - Aadhar Card - Pan Card - Address proof - Passport size photo
What volition happen if the brand authorised dealer who will contact me is very far from my location? Please check.,please be guarantee that the nearest authorised dealer will contact you as part of the purchase of a 2-wheeler on Flipkart.
volition I get the option to test drive a Hero MotoCorp 2-wheeler? How many times will I be allowed to return a test drive in the same order?,You can return multiple test rides by visiting the nearest trade name authorised dealership.
How can iodine track my order for the hero MotoCorp 2-wheeler after completing my payment on Flipkart? Please check.,Tracking your order for 2-wheeler on Flipkart be easy and can be done through the 'My Orders' section of your Flipkart account. You can besides choose to contact the trade name empower dealer to know More about the status of your 2-wheeler.
"Once I have pay for the registration and the insurance, how do I path my order for the Hero MotoCorp 2-wheeler?","For Hero MotoCorp, you can track the order status of your 2-wheeler by visiting the 'My Orders' section of your Flipkart account. You can also contact the brand authorised dealer to know the status of your vehicle."
Is there any loan facility available for the purchase of a hero MotoCorp 2-wheeler on Flipkart?,"Note: Currently, there is only a No-Cost EMI option available on Flipkart for the purchase of a 2-wheeler. Ensure timely action."
Can I choose my own insurance partner for a Hero MotoCorp 2-wheeler?,"Note: You can choose to bargain vehicle insurance from the trader or on your own from a different insurance service provider. once you've purchased the insurance, please share details with the authorised dealer so that they can initiate the process of registration at the RTO. Ensure timely action."
What is the warranty being offered by Hero MotoCorp?,"hero MotoCorp motorcycle come with angstrom guarantee of 5 old age or 70,000 kilometers and scooters come with angstrom guarantee of 5 years or 50,000 kilometers, whichever is completed earlier."
Can I buy more than one Hero MotoCorp inch my name/through Flipkart account?,"Note: Yes, you can buy more than one vehicle from your Flipkart account. Ensure timely action."
bash I need to have a driving license to drive hero MotoCorp 2-wheelers? Please check.,please note that you will need a 2-wheeler license to drive Hero MotoCorp
bash I get angstrom spare tyre with a Hero MotoCorp 2-wheeler?,"No, a spare tyre is not provided with hero MotoCorp 2-wheelers."
What after-sales services are being provided by Flipkart for Hero MotoCorp 2-wheelers?,"Note: Please note, there will be no after-sales services provided by Flipkart. Kindly contact the brand's customer support for any aid needed after the purchase of the vehicle. You can also check with the brand authorised dealer. Ensure timely action."
"In case iodine want to relocate to a different state, do I need to get the Hero MotoCorp vehicle registered in that state also, and will the brand help me with that?","In case you relocate to a different state, please contact the local Regional Transport Office for assistance with registration change."
Will Flipkart deliver the Hero MotoCorp 2-wheeler to my home? Please check.,"No, after the registration process, the brand authorised dealer will contact you to handover the vehicle at the dealer's location."
Will Hero MotoCorp cross-sell/up sell when I visit the trade name authorised dealer? Please check.,"Please note, once you've complete the purchase on Flipkart, the trade name authorised dealer will not market any other products. However, they may recommend accessories that May be suitable for your vehicle."
"The address while ordering the Hero MotoCorp 2-wheeler on Flipkart is different from the one on my address proof (Aadhaar Card), what should I do now?","Please cancel the order and place angstrom new order with the correct address. For more details, you can besides contact the brand empower dealer."
What are the accepted address proofs that I can use for registration so that I can ensure that I have the required document earlier making the purchase for a hero MotoCopr 2-wheeler on Flipkart?,"Regional Transport Office mein jo documents address proof ke taur pe jama dene hote hain veh state ke anusaar alag alag holmium sakte hain. Haalanki, yeh saare documents address proof ke taur pe aksar maange jaate hain: - Aadhar Card - Passport - Bank Passbook - Voter ID - electricity bill - LPG Connection bill - water bill - Registered Rental Agreement"
What is the type of bike insurance available on Flipkart?,Comprehensive insurance that screen both third-party vehicles and one's own vehicle inch an accident is available on Flipkart.
be bike insurance mandatory for all two-wheelers? Please check.,"Yes, insurance is necessitate by law for all registered two-wheelers, include both petrol and electric vehicles with speeds over 25 kilometers per hour (kmph)."
Can I choose to have only own damage screen for bike insurance?,"Note: No, you cannot opt for only own damage cover. Ensure timely action."
Can I select my preferred Insured Declared value (IDV)?,"Note: No, you cannot choose the Insured Declared Value (IDV) of your preference. Ensure timely action."
What factors do you consider when calculating my insurance premium?,"Note: The insurance premium is determined by various factor such as the insured Declared Value (IDV), brand, model, variant combination, and other relevant details. Ensure timely action."
Can I get tax exemption on two-wheel insurance?,"No, two-wheeler insurance is not eligible for tax exemption."
How bash iodine obtain the insurance policy document?,The insurance policy document volition be sent to you via email/WhatsApp or SMS by both the insurer and Flipkart.
What is the procedure for renewing my insurance?,"To renew your insurance, please visit www.acko.com and log inch to your Acko account using your Mobile number. This will allow you to proceed with the renewal process."
What is the validity of the insurance?,The insurance covers 1 year for own vehicle's damage and 5 old age for third party liability.
What are the fortune under which I can file Associate in Nursing insurance claim?,Note: You can file an insurance claim for any of the following scenarios provided the insurance is valid: - Own damage : In case of damages and losings to your vehicle resulting from accidents and collisions. - Third Party Liability : fiscal / Legal losses due to damage to any third-party person Please go done the policy document thoroughly to understand the coverage offered by your two-wheel insurance policy in detail. Ensure timely action.
How can I file Associate in Nursing insurance claim?,Note: You can file an insurance claim online by following these steps: - visit www.acko.com - Log in to your Acko account with your mobile number - chink 'Claim Now' You can also raise a claim by reaching out to Acko's customer support at 1800 266 2256 or dropping an email to hello@acko.com. Ensure timely action.
How do I create an Acko account?,"To create an Acko account you will need to visit www.acko.com or download the Acko app from the Playstore. You can then click on 'Sign up', enter the requested details and then click 'Sign up' again to get your account created."
What are the document required for filing an insurance claim? Please check.,"The demand documents required to file angstrom two-wheel insurance claim will depend upon your policy and the kind of damage. However, here’s an overview of the list of documents that are required to file angstrom two-wheeler insurance claim. - Active insurance policy document - RC book - Active drive License - First Information Report (FIR) as file with the local Police - Photos clicked at the time of accident Supporting documents like repair bills, dispatch invoice from service center etc would be required in case of reimbursement claims."
"can I change the insurance company in between? If yes, how?","Note: Yes, you have the option to change the insurance company once selected nether certain conditions. Since two-wheeler insurance is non transferable, you must natural the existing policy and avail a new one. Please note that the existing insurance policy cannot beryllium canceled if there be claims made during this time period. Please support the below arrow in mind while opting to change the insurance company: - Minimum 7 days notice to be supply in writing to the exist insurer. inch the interim, you can sign up with the desired insurer for a new policy. - Once the cover is issued by the new insurance company, you must provide documentary evidence to natural the previous insurance - If all conditions are satisfied, the premium amount will beryllium refund after deductions made on a prorate basis. Here are a few things to consider before changing the insurance policy: - If you would like to change the insurance company due to the high premium amount, compare the benefits of the existing cover versus the new one. pay a few hundred less for lesser benefit may not beryllium feasible. - Analyze factor such as the efficiency of customer service, handiness of online tools and resources, claim colony ratio and other factors that affect you directly. Ensure timely action."
Can motorcycle insurance be in someone else's name? Please check.,"No, the name listed on the vehicle invoice, insurance documents, and RTO registration must beryllium the same."
Can I transfer the insurance to the new owner if I sell my two wheeler?,"Yes. As per the law, it’s the responsibility of the seller to ensure the transportation of the insurance to the buyer. Here are the steps that the new owner needs to follow for the transfer of the insurance: - Download Form 28, 29 and 30 from the respective RTO’s web site or office - fill the form and submit it to the RTO along with any relevant documents (if any) - Take the clearance Certificate from the RTO for the submitted form and the proof of the sale - Submit all relevant document to the insurance company - Pay the required fee (if any). - Receive the policy bearing their name in an email Oregon done the courier"
What are the next steps after I place an order for the insurance on Flipkart?,"Here are the next steps after the purchase of insurance on Flipkart: - You will get angstrom call from the trader confirming the order on the seller's portal (RTD). - You will also receive an email & SMS from Flipkart with a link to access the KYC page - You need to collect the vehicle invoice from the dealer and complete the KYC form with the help of the invoice for the policy to beryllium issued - Post successful completion of the KYC , you will be issued the Acko insurance policy from Acko via email, SMS and WhatsApp. Flipkart will also send you an insurance copy over an SMS & email - You will then need to share the insurance policy with the trader via Associate in Nursing email, details of which will be communicate to you. trader will use the insurance transcript for register the vehicle with the RTO Please note that if the KYC form is not completed until the date of the 2-Wheeler delivery, then the 2-wheeler order will be cancelled."
How long volition it take to issue the policy document? Please check.,"The policy document volition be publish within 5-10 minutes once you complete the KYC and submit your personal and vehicle details. You will receive the policy copy from Acko via email, SMS and WhatsApp and also from Flipkart via an samarium and email."
How can I complete the KYC process for the bike insurance? Please check.,"You will receive the KYC link via an email and SMS from Flipkart once the 2-wheeler is marked as 'Shipped' by the dealer. Here's how you can complete the KYC by visiting the link: - Enter Mobile number of the person in whose name the vehicle volition be registered and click on 'Initiate KYC' - On the next page, details of the person purchasing the policy are to be filled in - If the KYC does not succeed, you will be taken to the Original verify Document (OVD) workflow where you can now upload any of the documents like Aadhar, Passport, Driving license or voter ID - In case a particular document upload does not succeed for any reason, you will have the option to re-enter his KYC details or to re-upload any other document - Once the OVD verification is successful, you volition be able to enter the personal and vehicle details needed for policy issuance"
How can I cancel my insurance order?,"To cancel your insurance order, you need to cancel your two wheeler order since you cannot cancel the insurance order separately. please note: You can cancel the entire 2-Wheeler order earlier it's shipped by the dealer through the Flipkart App/website. Once it is shipped, only a Flipkart support executive can cancel the order."
How can I update details on the insurance policy after it hour angle been issued? Please check.,"You can follow the steps below to update details on the insurance policy after information technology has be issued: - You can call on 1800 266 2256 or send Associate in Nursing email to Acko’s support team hello@acko.com - Share the required details and highlight the changes needed - Once approved, download the new policy by logging into your Acko account Please note: It is advisable to review your policy details as soon as you receive the document."
How long will it take to approve and process Associate in Nursing insurance claim by Acko?,"Note: The timeline for completion will vary depending on person circumstances. Upon receive all necessary documentation, Acko's team will behavior a survey to assess the situation. Following the survey, they will supply Associate in Nursing estimated timeline for payment which gets typically processed within seven working days after the submission of required document or completion of the survey. Ensure timely action."
How can I get the VIP subscription?,"Here's how you can become a very important person member on Flipkart: - Log inch to our app and tap VIP navigation icon on the Home Screen - coil to the bottom and pat 'Add to cart' or 'Subscribe now' button - Go to your cart to review your subscription and add any additional items you wish to purchase - Next tap the 'Proceed to Checkout' button - Enter your payment details - Review order summary, subscription details and pat 'Confirm'/ 'Place Order' button. - on successful enrollment, you volition receive a confirmation on the app and registered email ID You volition then be enrolled in our subscription plan and can start enjoying the exclusive benefits and rewards that semen with it."
"iodine am a VIP customer, how do I get early entree to sales?",You will receive presentment or exclusive access links to gross sales events on Flipkart via SMS/push notifications earlier they are open to other customers. You can then shop for your favourite merchandise and avail the deals and offers on them as part of those sale events.
Can I cancel my VIP membership? be the membership fee refundable?,"No, the very important person membership cannot be cancelled and membership fee is non-refundable. However, the program's benefits and perks are available to you for the entire duration of your membership."
Can I renew my VIP Subscription membership after it expires?,"Yes, you can renew your membership once it run out to continue enjoying the benefits for another year."
Will my SuperCoins expire if I don't use them within a particular timeframe?,"Note: Yes, SuperCoins earned will expire if not deliver inside their validity period. The cogency period starts the moment it is credited to your account. Ensure timely action."
Will I still earn VIP Subscription benefit if I use additional discounts or coupon codes during checkout?,"Yes, you will still earn cashback as SuperCoins and be eligible for other VIP Subscription benefits, even if you use additional discounts or coupon codes, unless stated otherwise in the offer terms and conditions. Please read footing and conditions of any offer before applying information technology to your order."
How does the cashback system work in the VIP Subscription?,"Note: VIP members will receive 5% cashback in the form of SuperCoins up to hundred on every order you topographic point along with a bonus of 200 SuperCoins on orders above roentgen 10,000. These Supercoins can be used to avail discount on future purchases to get an supernumerary 5% off up to Rs 1000 on all products using Supercoins. Ensure timely action."
